name,city,iata,latitude,longitude,altitude_m,state,passengers_2024
Warrabri Airport,Ali-Curung,,-21.0,134.39700317382812,117.0,,
Ampilatwatja Airport,Ampilatwatja,,-21.655000686645508,135.22999572753906,0.0,,
Kings Creek Airport,Petermann,KCS,-24.42329978942871,131.8350067138672,187.0,,
Harts Range Airport,Harts Range,,-22.98500061035156,134.91799926757812,0.0,,
Elliott Airport,Elliott,,-17.527429580688477,133.52989196777344,0.0,,
Papunya Airport,Papunya,,-23.24670028686523,131.9029998779297,189.0,,
Fregon Airport,Fregon,,-26.774999618530273,132.01699829101562,161.0,,
Mount Liebig Airport,Mt Liebig,,-23.24329948425293,131.25999450683594,0.0,,
Goondiwindi Airport,Goondiwindi,GOO,-28.521400451660156,150.32000732421875,218.0,,
Docker River Airport,Docker River,DKV,-24.86000061035156,129.07000732421875,180.0,,
Ti Tree Airport,Ti Tree,,-22.13170051574707,133.4199981689453,0.0,,
Kintore Airport,Kintore,,-23.26499938964844,129.38699340820312,0.0,,
Utopia Airport,Utopia,,-22.05500030517578,134.7899932861328,0.0,,
Nyrripi Airport,Nyirripi,,-22.645299911499023,130.56500244140625,0.0,,
Amata Airport,Amata,AMT,-26.108299255371097,131.20700073242188,212.0,,
Erldunda Airport,Erldunda,EDD,-25.205799102800004,133.253997803,0.0,,
Finke Airport,Finke,FIK,-25.5946998596,134.582992554,0.0,,
Nypari Airport,Angatja Homeland,,-26.200000762939453,130.23300170898438,0.0,,
Bowen Airport,Bowen,ZBO,-20.018299102783203,148.21499633789062,2.0,,
Boolgeeda,Brockman,OCM,-22.54,117.275,570.0,,
Coonawarra Airport,Coonawarra,,-37.28329849243164,140.8000030517578,0.0,,
Naracoorte Airport,Naracoorte,NAC,-36.98529815673828,140.72500610351562,52.0,,
Caloundra Airport,Caloundra,CUD,-26.799999237060547,153.10000610351562,4.0,,
Croker Island Airport,Croker Island,CKI,-11.164999961853027,132.48300170898438,5.0,,
The Granites Airport,The Granites,,-20.54829978942871,130.3470001220703,0.0,,
Barimunya Airport,Barimunya,BYP,-22.673900604248,119.16600036621,635.0,,
Noonkanbah Airport,Noonkanbah,NKB,-18.4946994781,124.851997375,0.0,,
Umuwa Airport,Umuwa,,-26.4867000579834,132.0399932861328,0.0,,
Mount Weld Airport,Laverton,,-28.771699905395508,122.44000244140624,0.0,,
Kidston Airport,Kidston,,-18.8700008392334,144.17300415039062,151.0,,
